Cust ID,First_Name,Last_Name,Gender,Age,Income,Phone Number,Email Address,Zip Code,Credit Rating
1112,Lisa,Nolan,F,60,152777.78,(195) 256-8505,Lisa.Nolan@gmail.com,30141,Rising_Star
1113,Nathan,Tucker,M,49,152777.78,(154) 958-4137,Nathan.Tucker@gmail.com,25753,Rising_Star
1114,Ben,Li,M,55,152777.78,(737) 156-5326,Ben.Li@gmail.com,75060,Rising_Star
1115,Cal,Crouch,M,28,152777.78,(609) 663-9328,Cal.Crouch@gmail.com,63959,Rising_Star
1116,Chris,Glickman,M,22,150000,(112) 336-9668,Chris.Glickman@gmail.com,66549,Rising_Star
1117,Connie,Steen,F,25,150000,(221) 226-0368,Connie.Steen@gmail.com,38845,Rising_Star
1118,Rachel,Billingham,F,19,150000,(398) 118-2831,Rachel.Billingham@gmail.com,46302,Rising_Star
1119,Ben,Corbett,M,41,150000,(683) 444-4955,Ben.Corbett@gmail.com,81391,Rising_Star
1120,Bob,Welshmer,M,43,150000,(302) 821-6584,bdub@gmail.com,47991,Rising_Star
1121,Chris,Crouch,M,8,150000,(758) 453-4272,Chris.Crouch@gmail.com,19621,Rising_Star
1122,Cal,Peters,M,34,150000,(577) 003-7642,Cal.Peters@gmail.com,65268,Rising_Star
1123,Francis,Matthews,M,45,150000,(678) 018-1984,Francis.Matthews@gmail.com,13326,Rising_Star
1124,Lynne,Li,F,22,150000,(599) 521-3727,Lynne.Li@gmail.com,73534,Rising_Star
1125,Peter,Click,M,26,150000,(440) 320-7397,Peter.Click@gmail.com,38924,Rising_Star
1126,Wayne,Like,M,46,150000,(547) 278-5399,wayno@gmail.com,94704,Rising_Star
1127,Pam,Stein,F,29,150000,(205) 655-8702,Pam.Stein@gmail.com,74097,Rising_Star
1128,Ross,Woods,M,60,150000,(173) 437-3644,Ross.Woods@gmail.com,69782,Rising_Star
1129,Bert,McCallister,M,54,150000,(504) 490-9522,Bert.McCallister@gmail.com,12937,Rising_Star
1130,Beth,Moss,F,31,150000,(597) 322-7721,Beth.Moss@gmail.com,32435,Rising_Star
1131,Ben,Stone,M,31,150000,(163) 218-2409,Ben.Stone@gmail.com,52322,Rising_Star
1132,Bill,Bailey,M,40,150000,(780) 591-2074,Bill.Bailey@gmail.com,81142,Rising_Star
1133,Chris,Stephens,M,28,150000,(427) 000-9203,Chris.Stephens@gmail.com,40163,Rising_Star
1134,Kathy,Abbot,F,51,150000,(366) 217-8984,Kathy.Abbot@gmail.com,61126,Rising_Star
1135,Kathryn,Shelby,F,33,150000,(238) 405-4256,Kathryn.Shelby@gmail.com,40969,Rising_Star
1136,Lynne,Dunn,F,38,150000,(675) 214-7117,Lynne.Dunn@gmail.com,17955,Rising_Star
1137,Nathan,Corbett,M,36,150000,(687) 140-2731,Nathan.Corbett@gmail.com,79250,Rising_Star
1138,Peter,Newsome,M,30,150000,(865) 600-1763,Peter.Newsome@gmail.com,65781,Rising_Star
1139,Steven,Fulton,M,53,150000,(213) 871-4517,Steven.Fulton@gmail.com,69946,Rising_Star
1140,Alice,Jordan,F,44,150000,(540) 051-4234,Alice.Jordan@gmail.com,81577,Rising_Star
1141,Adam,Pak,M,55,150000,(181) 579-0887,Adam.Pak@gmail.com,64694,Rising_Star
1142,Anne,Li,F,42,150000,(274) 262-3281,Anne.Li@gmail.com,74570,Rising_Star
1143,Bert,Tucker,M,32,150000,(326) 922-5287,Bert.Tucker@gmail.com,59678,Rising_Star
1144,Beth,Click,F,32,150000,(871) 198-4641,Beth.Click@gmail.com,77538,Rising_Star
1145,Ben,Glickman,M,33,150000,(866) 410-1549,Ben.Glickman@gmail.com,50944,Rising_Star
1146,Jim,Boder,M,56,150000,(488) 308-3807,Jim.Boder@gmail.com,79672,Rising_Star
1147,Lee,Rosenthal,M,45,150000,(455) 746-3374,Lee.Rosenthal@gmail.com,52004,Rising_Star
1148,Mitch,Bauer,M,39,150000,(581) 263-9538,Mitch.Bauer@gmail.com,46887,Rising_Star
1149,Nancy,Garner,F,54,150000,(523) 811-3796,Nancy.Garner@gmail.com,93779,Rising_Star
1150,Nick,Faulk,M,38,150000,(790) 918-9862,Nick.Faulk@gmail.com,21345,Rising_Star
1151,Kathryn,McCallister,F,45,150000,(412) 399-0474,Kathryn.McCallister@gmail.com,26308,Rising_Star
1152,Lynne,Moss,F,33,150000,(836) 719-5005,Lynne.Moss@gmail.com,66367,Rising_Star
1153,Susan,Cato,F,30,150000,(480) 836-2971,Susan.Cato@gmail.com,75305,Rising_Star
1154,Amy,Kennedy,F,42,150000,(619) 695-6784,Amy.Kennedy@gmail.com,42950,Rising_Star
1155,Alice,Washington,F,36,150000,(407) 334-1888,Alice.Washington@gmail.com,54776,Rising_Star
1156,Adam,Shelby,M,57,150000,(186) 037-7948,Adam.Shelby@gmail.com,25455,Rising_Star
1157,Anne,Dunn,F,42,150000,(136) 073-1213,Anne.Dunn@gmail.com,18622,Rising_Star
1158,Eileen,Fulton,F,44,150000,(646) 645-4946,Eileen.Fulton@gmail.com,55845,Rising_Star
1159,Marianne,Wilson,F,34,150000,(529) 582-4747,Marianne.Wilson@gmail.com,84193,Rising_Star
1160,Mitch,Jordan,M,40,150000,(349) 796-5375,Mitch.Jordan@gmail.com,87359,Rising_Star
1161,Nancy,Pak,F,55,150000,(554) 296-6931,Nancy.Pak@gmail.com,55221,Rising_Star
1162,Kathryn,Tucker,F,44,150000,(247) 307-8436,Kathryn.Tucker@gmail.com,71162,Rising_Star
1163,Stephanie,Boder,F,42,150000,(238) 737-9946,Stephanie.Boder@gmail.com,11235,Rising_Star
1164,Michelle,Anniston,F,42,150000,(677) 978-2125,Michelle.Anniston@gmail.com,55071,Rising_Star
1165,Karen,Ross,F,55,150000,(275) 789-5963,Karen.Ross@gmail.com,33624,Rising_Star
1166,Alan,Bauer,M,38,150000,(796) 496-0538,Alan.Bauer@gmail.com,70199,Rising_Star
1167,Amy,Garner,F,53,150000,(679) 585-1234,Amy.Garner@gmail.com,40599,Rising_Star
1168,Alice,Faulk,F,42,150000,(198) 616-9336,Alice.Faulk@gmail.com,15422,Rising_Star
1169,Lauren,Reagan,F,29,150000,(238) 565-7219,Lauren.Reagan@gmail.com,14861,Rising_Star
1170,Michael,Ford,M,33,150000,(683) 141-7103,Michael.Ford@gmail.com,51206,Rising_Star
1171,Mary,Clinton,F,37,150000,(125) 804-1536,Mary.Clinton@gmail.com,84071,Rising_Star
1172,Marianne,Kennedy,F,41,150000,(198) 855-8408,Marianne.Kennedy@gmail.com,81987,Rising_Star
1173,Nancy,Shelby,F,56,150000,(333) 759-9904,Nancy.Shelby@gmail.com,36478,Rising_Star
1174,Kathryn,Corbett,F,27,150000,(735) 855-0661,Kathryn.Corbett@gmail.com,18189,Rising_Star
1175,Jill,Scott,F,49,150000,(470) 963-3612,Jill.Scott@gmail.com,37730,Rising_Star
1176,Emily,Jones,F,40,150000,(852) 478-3843,Emily.Jones@gmail.com,64808,Rising_Star
1177,Michelle,Smith,F,27,150000,(424) 583-1515,Michelle.Smith@gmail.com,95873,Rising_Star
1178,Karen,Wilson,F,29,150000,(678) 816-7669,Karen.Wilson@gmail.com,82580,Rising_Star
1179,Lindsay,Cox,F,39,150000,(194) 046-6972,Lindsay.Cox@gmail.com,37102,Rising_Star
1180,Lauren,Anniston,F,35,150000,(593) 080-1063,Lauren.Anniston@gmail.com,33547,Rising_Star
1181,Michael,Ross,M,35,150000,(227) 275-4136,Michael.Ross@gmail.com,70784,Rising_Star
